id,name,image,background_image
1,옐로우 골드,https://content.rolex.com/dam/2019/material/18_ct_yellow_gold.png?impolicy=main-configurator&imwidth=680 2x,https://content.rolex.com/dam/2019/bg/model-cover-background-yellow-gold.jpg?imwidth=1940 2x
2,화이트 골드,https://content.rolex.com/dam/2019/material/18_ct_white_gold.png?impolicy=main-configurator&imwidth=680 2x,"https://content.rolex.com/dam/2019/bg/model-cover-background-steel.jpg?imwidth=2880 2x"""
3,에버로즈 골드,https://content.rolex.com/dam/2019/material/18_ct_pink_gold.png?impolicy=main-configurator&imwidth=680 2x,https://content.rolex.com/dam/2019/bg/model-cover-background-everose.jpg?imwidth=2880 2x
4,플래티넘,https://content.rolex.com/dam/2019/material/platinum.png?impolicy=main-configurator&imwidth=680 2x,https://content.rolex.com/dam/2019/bg/model-cover-background-steel.jpg?imwidth=2880 2x
