id,material,name,image
1,1,프레지던트,https://content.rolex.com/dam/2019/harmonised/bracelet-highlight-on-full-watch/m128348rbr-0026.png?impolicy=main-configurator&imwidth=680
2,1,다이아몬드가 세팅된 프레지던트,https://content.rolex.com/dam/2019/harmonised/bracelet-highlight-on-full-watch/m128348rbr-0027.png?impolicy=main-configurator&imwidth=680
3,2,프레지던트,https://content.rolex.com/dam/2019/harmonised/bracelet-highlight-on-full-watch/m128349rbr-0001.png?impolicy=main-configurator&imwidth=680
4,2,다이아몬드가 세팅된 프레지던트,https://content.rolex.com/dam/2019/harmonised/bracelet-highlight-on-full-watch/m128349rbr-0013.png?impolicy=main-configurator&imwidth=680
5,3,프레지던트,https://content.rolex.com/dam/2019/harmonised/bracelet-highlight-on-full-watch/m128345rbr-0028.png?impolicy=main-configurator&imwidth=680
6,3,다이아몬드가 세팅된 프레지던트,https://content.rolex.com/dam/2019/harmonised/bracelet-highlight-on-full-watch/m128345rbr-0030.png?impolicy=main-configurator&imwidth=680
7,4,프레지던트,https://content.rolex.com/dam/2019/harmonised/bracelet-highlight-on-full-watch/m128349rbr-0001.png?impolicy=main-configurator&imwidth=680
