Id,material,name,image
1,1,플루티드,https://content.rolex.com/dam/2019/harmonised/bezel-with-colored-shadow/46126.png?impolicy=main-configurator&imwidth=680
2,1,다이아몬드 세팅,https://content.rolex.com/dam/2019/harmonised/bezel-with-colored-shadow/46452.png?impolicy=main-configurator&imwidth=680
3,1,다이아몬드 세팅,https://content.rolex.com/dam/2019/harmonised/bezel-with-colored-shadow/46453.png?impolicy=main-configurator&imwidth=680
4,2,플루티드,https://content.rolex.com/dam/2019/harmonised/bezel-with-colored-shadow/46454.png?impolicy=main-configurator&imwidth=680
5,2,다이아몬드 세팅,https://content.rolex.com/dam/2019/harmonised/bezel-with-colored-shadow/46455.png?impolicy=main-configurator&imwidth=680
6,3,플루티드,https://content.rolex.com/dam/2019/harmonised/bezel-with-colored-shadow/46123.png?impolicy=main-configurator&imwidth=680
7,3,다이아몬드 세팅,https://content.rolex.com/dam/2019/harmonised/bezel-with-colored-shadow/50911.png?impolicy=main-configurator&imwidth=680
8,4,스무스,https://content.rolex.com/dam/2019/harmonised/bezel-with-colored-shadow/46457.png?impolicy=main-configurator&imwidth=680
9,4,다이아몬드 세팅,https://content.rolex.com/dam/2019/harmonised/bezel-with-colored-shadow/46458.png?impolicy=main-configurator&imwidth=680
